# Name                     RAdeg             DEdeg               Memb Disk Acc K2var   umag   gmag   rmag   imag   Hamag  SpT   Avmag                Lbol                Mstar               Rstar              logAge             logMacc             DlogMacc+ DlogMacc-
  EPIC224328571            271.12146         -24.44222           y    n    0   P       20.34  17.656 16.169 15.49  15.901 K7.5  0.689                1.474               0.63                2.444              5.76               ""                  ""        ""       
  EPIC224328987            271.00538         -24.44144           y    n    0   P       12.005 11.514 11.517 11.525 11.479 A0.5  0.391                68.696              2.582               2.965              6.51               ""                  ""        ""       
  EPIC224329227            271.04979         -24.44108           y    y    0   P       ""     17.72  16.143 15.167 15.959 M0.75 0.477                2.052               0.37                3.566              ""                 ""                  ""        ""       
  EPIC224329877            271.05801         -24.43988           y    y*   2   P       20.13  17.754 16.182 15.314 15.683 K7    0.759                1.405               0.688               2.315              5.86               -8.9                0.469     ""       
  EPIC224330659            271.17471         -24.43842           y    y*   2   QPS     ""     17.926 16.166 15.196 15.762 K9.75 1.633                4.473               0.426               4.905              ""                 -7.995              0.047     ""       
  EPIC224331438            271.05457         -24.43709           y    y    1   S       ""     18.798 16.927 16.094 15.889 M0.25 1.436                1.943               0.403               3.347              5.01               -7.155              0.144     0.117    
  EPIC224332620            270.84408         -24.43486           y    n*   0   MP      12.33  11.793 11.816 11.849 11.804 <=O9  1.866                3300.483            ""                  1.77               ""                 ""                  ""        ""       
  EPIC224332703            271.034           -24.43475           y    n    2   QPS     16.859 15.152 13.911 13.307 13.565 K2.75 0.87                 8.673               1.495               4.33               5.53               -7.995              0.596     ""       
  EPIC224334564            270.97396         -24.43133           ?    ""   2   N       15.168 13.906 13.274 12.994 13.102 F7.5  0.696                11.118              1.887               2.881              6.75               -8.011              0.117     ""       
  EPIC224334929            271.04229         -24.43044           y    y    1   S       ""     18.555 16.662 15.691 16.045 G7.5  5.249                22.542              3.221               5.316              5.93               -6.846              0.166     0.236    
  EPIC224335181            271.08328         -24.43018           y    n*   0   QPD     ""     18.191 16.723 15.909 16.383 K9.75 0.141                0.759               0.49                2.02               5.9                ""                  ""        ""       
  EPIC224335505            271.09208         -24.42961           y    n    0   P       18.067 16.523 15.009 14.187 14.745 K9    0.335                3.817               0.472               4.317              ""                 ""                  ""        ""       
  EPIC224336179            271.21088         -24.42828           y    ?    1   U       12.65  12.116 11.705 11.606 10.743 B3.25 2.978                1742.165            6.187               5.226              5.55               -4.777              0.045     0.053    
  EPIC224336320            271.13065         -24.4282            ?    n    0   S       20.307 17.584 16.066 15.253 15.91  K4    1.824                2.951               1.076               2.765              5.85               ""                  ""        ""       
  EPIC224337311            270.99096         -24.42636           y    y    2   QPS     16.203 14.463 13.232 12.616 12.756 K2    1.05                 17.44               2.19                5.701              5.44               -6.92               0.212     0.158    
  EPIC224337699            271.04125         -24.42572           y    y    2   S       19.021 16.614 15.008 14.226 14.516 K7.25 1.455                8.023               0.631               5.617              ""                 -7.18               0.227     0.468    
  EPIC224337991            271.00158         -24.42508           y    n*   2   QPS     19.074 17.662 16.284 15.552 15.327 K9.5  0.0                  0.992               0.49                2.272              5.77               -7.852              0.122     0.101    
  EPIC224338072            271.04828         -24.42501           y    n    0   QPS     12.386 11.827 11.737 11.66  11.683 B7.25 1.248                195.157             3.394               2.92               6.25               ""                  ""        ""       
  EPIC224338159            270.99521         -24.42478           y    n    1   P?      ""     18.042 16.489 15.636 15.661 K9.25 0.555                1.227               0.494               2.487              5.68               -7.822              0.233     0.195    
  EPIC224338336            271.12221         -24.4245            y    n    0   N       17.544 16.202 15.085 14.481 14.817 G6.75 1.372                3.633               1.702               2.105              6.72               ""                  ""        ""       
  EPIC224338514            271.06424         -24.42412           y    ?    1   P       ""     18.623 17.05  16.172 16.505 K7.5  0.755                0.673               0.743               1.651              6.33               -8.996              0.249     0.249    
  EPIC224338655            271.12075         -24.42394           y    n    2   QPS     10.841 10.687 10.744 10.769 10.707 B7.75 0.089                177.397             3.397               2.784              6.26               -6.988              0.267     ""       
  EPIC224339703            271.01279         -24.42203           y    y    1   QPS     16.383 14.999 14.189 13.82  13.886 G3    0.868                5.615               1.821               2.436              6.69               -8.243              0.41      0.672    
  EPIC224339837            271.02425         -24.42183           y    ?    0   QPS     19.64  17.618 16.227 15.58  15.905 K7.25 0.367                1.042               0.698               2.024              6.03               ""                  ""        ""       
  EPIC224340196            271.15353         -24.42119           ?    n    0   N       ""     19.897 17.214 15.869 16.935 ""    ""                   ""                  ""                  ""                 ""                 ""                  ""        ""       
  EPIC224340256            271.21504         -24.42103           y    y*   2   QPS     20.367 17.886 16.21  15.369 15.754 K7.75 1.422                2.68                0.565               3.346              5.41               -8.19               0.213     0.745    
  EPIC224340327            271.12767         -24.42092           ?    n    0   MP      ""     ""     18.393 16.923 18.297 M2.5  1.551                0.879               0.28                2.672              5.1                ""                  ""        ""       
  EPIC224341538            270.94888         -24.41881           ?    y*   1   N       17.207 15.531 14.6   14.236 14.251 G8.25 1.195                5.306               2.017               2.622              6.46               -8.147              0.322     0.208    
  EPIC224341656            270.84433         -24.41856           y    n    0   QPS     16.194 14.963 14.299 14.015 14.232 G2    0.458                3.64                1.52                1.923              6.91               ""                  ""        ""       
  EPIC224342790            271.12888         -24.41656           y    y    1   QPS     ""     17.927 16.345 15.564 15.966 K2.5  3.246                6.953               1.565               3.781              5.7                -7.807              0.398     0.735    
  EPIC224342934            270.99388         -24.41625           y    y*   2   P       18.31  16.223 14.835 14.157 14.393 K7.5  0.352                3.837               0.582               3.944              5.06               -7.714              0.157     0.244    
  EPIC224343392            271.08563         -24.41544           y    n    0   MP      14.781 13.368 12.849 12.562 12.738 F1.75 0.577                15.172              1.833               2.626              6.83               ""                  ""        ""       
  EPIC224343457            271.02354         -24.41528           y    n    0   P       20.089 17.339 15.792 15.093 15.64  K4    2.163                5.134               1.086               3.646              5.55               ""                  ""        ""       
  EPIC224344077            271.05573         -24.41423           y    n    2   QPS     17.989 15.884 14.639 14.072 14.277 K4.5  0.382                3.423               0.978               3.078              5.68               -8.175              0.358     0.31     
  EPIC224344585            271.04672         -24.41329           ?    n*   0   QPS     14.726 13.699 12.869 12.409 12.687 F8.75 1.012                20.31               2.472               4.102              6.43               ""                  ""        ""       
  EPIC224345473            270.99158         -24.41161           y    n    0   QPS     19.495 16.85  15.452 14.807 15.282 K2.75 1.631                3.978               1.39                2.933              5.92               ""                  ""        ""       
