# Name                     RAdeg             DEdeg               Memb Disk Acc K2var   umag   gmag   rmag   imag   Hamag  SpT   Avmag                Lbol                Mstar               Rstar              logAge             logMacc             DlogMacc+ DlogMacc-
  EPIC224379624            270.96096         -24.35003           y    n    2   U       13.143 12.357 12.319 12.286 12.284 A1.25 0.525                35.124              2.328               2.259              6.7                -6.814              0.035     ""       
  EPIC224379726            271.10121         -24.34986           y    ?    2   N       10.387 10.295 10.344 10.374 10.283 B9    0.0                  167.911             3.302               3.771              6.24               -6.639              0.243     0.55     
  EPIC224379847            271.17367         -24.34958           y    n    0   QPS     9.612  9.43   9.557  9.646  9.521  A0    0.286                406.471             4.739               6.994              5.78               ""                  ""        ""       
  EPIC224379865            271.18846         -24.34956           y    y*   0   P       19.636 16.941 15.472 14.829 15.202 K7    0.497                2.211               0.647               2.904              5.59               ""                  ""        ""       
  EPIC224380058            271.14328         -24.34933           y    n    0   P       ""     18.541 16.704 15.82  16.302 K8.25 1.767                2.357               0.53                3.237              5.43               ""                  ""        ""       
  EPIC224380202            270.72621         -24.34903           y    y    2   S       18.529 16.39  15.263 14.64  14.543 G6    1.514                3.469               1.592               2.029              6.78               -7.785              0.023     0.117    
  EPIC224380260            271.08215         -24.3489            y    n    0   P       ""     18.974 17.208 16.196 16.941 K8.5  1.495                1.23                0.553               2.374              5.75               ""                  ""        ""       
  EPIC224380387            271.14059         -24.34865           y    n*   2   S       20.137 18.33  16.693 15.934 16.116 M1    0.0                  0.821               0.392               2.298              5.73               -8.664              0.084     0.303    
  EPIC224380824            271.04271         -24.34789           y    n    0   EB      14.368 13.193 12.659 12.428 12.54  F6.75 0.409                15.549              2.068               3.323              6.65               ""                  ""        ""       
  EPIC224380996            271.11546         -24.34758           y    n*   0   P       19.647 17.29  16.018 15.389 15.725 K2.75 1.005                1.394               1.328               1.736              6.6                ""                  ""        ""       
  EPIC224381211            271.09192         -24.34714           y    n    0   P       20.185 17.392 15.854 15.148 15.501 K5    1.216                2.259               0.917               2.592              5.9                ""                  ""        ""       
  EPIC224381250            271.03525         -24.34712           y    y*   0   P       ""     18.187 16.345 15.526 16.378 K0.5  4.132                11.967              2.573               4.271              5.89               ""                  ""        ""       
  EPIC224381393            271.23896         -24.34675           ?    n    0   U       18.043 13.477 10.709 9.279  10.267 ""    ""                   ""                  ""                  ""                 ""                 ""                  ""        ""       
  EPIC224381689            271.15908         -24.34631           y    n    0   MP      18.586 16.208 14.856 14.211 14.55  K5.25 0.521                3.337               0.854               3.193              5.56               ""                  ""        ""       
  EPIC224381959            271.10646         -24.34581           y    y    2   P       10.242 10.188 10.243 10.276 10.182 B8.75 0.0                  190.743             3.44                3.873              6.2                -6.595              0.202     0.261    
  EPIC224382041            271.21067         -24.34556           y    n    0   MP      19.03  16.853 15.589 14.986 15.314 K3.75 0.743                1.82                1.164               2.135              6.21               ""                  ""        ""       
  EPIC224382910            271.12125         -24.34417           y    y*   2   P       20.201 17.842 16.235 15.436 15.823 K7.75 1.002                1.827               0.587               2.763              5.61               -8.533              0.195     ""       
  EPIC224383786            271.09117         -24.34256           y    n    0   MP      15.714 14.378 13.641 13.29  13.472 G3    0.296                5.648               1.834               2.443              6.68               ""                  ""        ""       
  EPIC224384359            271.13142         -24.34161           y    n    0   N       19.253 17.278 16.022 15.332 15.797 G8.75 1.676                1.99                1.411               1.63               6.91               ""                  ""        ""       
  EPIC224384579            271.16394         -24.34129           ?    n*   0   P       ""     18.407 16.657 15.774 16.403 K9.25 1.573                2.485               0.461               3.54               5.02               ""                  ""        ""       
  EPIC224384914            271.10275         -24.34064           y    n    2   P       19.505 17.16  15.751 15.103 15.357 K7.5  0.437                1.769               0.614               2.678              5.65               -8.961              0.55      ""       
  EPIC224384916            271.1215          -24.34064           y    n*   2   MP      ""     17.848 16.245 15.384 15.842 K8    1.122                2.098               0.555               3.007              5.51               -8.878              0.583     ""       
  EPIC224385053            271.00279         -24.34033           y    n    2   P       16.346 14.932 14.11  13.724 13.853 G4.75 0.337                3.764               1.642               2.065              6.79               -8.72               0.317     0.326    
  EPIC224385127            271.08429         -24.3402            y    y    ""  B       ""     ""     16.678 ""     ""     G1.5  4.596                ""                  ""                  ""                 ""                 ""                  ""        ""       
  EPIC224385880            271.03813         -24.33883           y    n    1   N       ""     18.106 16.533 15.704 15.958 K5    1.619                1.746               0.933               2.274              6.02               -8.45               0.427     ""       
  EPIC224386008            271.12503         -24.3387            y    y*   0   P       19.92  17.604 16.162 15.408 15.749 K6.75 0.288                0.943               0.777               1.866              6.19               ""                  ""        ""       
  EPIC224386790            271.10532         -24.33734           y    n    1   P       ""     18.056 16.584 15.738 16.085 M1    0.143                1.104               0.417               2.666              5.51               -8.967              0.391     ""       
  EPIC224387008            270.73883         -24.33719           y    n    0   QPS     16.905 15.321 14.4   13.977 14.18  G8    0.341                2.901               1.567               1.924              6.79               ""                  ""        ""       
  EPIC224387583            271.04079         -24.33581           y    ?    0   MP      12.238 11.73  11.625 11.566 11.552 A2    0.69                 71.366              2.713               3.553              6.44               ""                  ""        ""       
  EPIC224388173            271.10263         -24.33478           y    n    2   P       18.795 16.496 15.158 14.577 14.835 K7    0.22                 2.407               0.643               3.031              5.54               -9.04               0.659     ""       
  EPIC224388823            271.15063         -24.33356           y    n    0   N       14.686 13.442 12.935 12.681 12.813 F3.5  0.253                10.398              1.672               2.393              6.92               ""                  ""        ""       
  EPIC224389138            270.93558         -24.333             y    n    0   MP/EB   16.014 14.788 13.819 13.247 13.641 F9.25 1.585                13.696              2.167               3.444              6.55               ""                  ""        ""       
  EPIC224389484            270.91125         -24.33242           ?    n    1   U       17.19  15.472 14.494 14.085 14.152 G9    0.743                3.858               1.831               2.286              6.56               -8.42               0.232     0.271    
  EPIC224389596            271.04929         -24.33219           y    n    2   QPD     19.701 17.819 16.414 15.78  15.825 K7.5  0.365                0.9                 0.692               1.91               6.1                -8.566              0.106     0.064    
  EPIC224389818            271.09671         -24.33178           y    n    0   P       ""     ""     17.33  15.999 16.95  M1.5  1.571                0.626               0.367               2.088              5.81               ""                  ""        ""       
  EPIC224390009            271.08796         -24.33147           y    n    0   QPS     16.94  15.272 14.243 13.731 14.001 G8    0.816                4.979               1.978               2.521              6.51               ""                  ""        ""       
  EPIC224390040            271.04575         -24.33136           y    n*   1   N       18.57  16.759 15.718 15.315 15.288 G9.25 1.399                2.243               1.495               1.754              6.83               -8.333              0.112     0.104    
  EPIC224390120            270.72233         -24.33125           ?    ""   2   MP      18.759 16.527 15.179 14.488 14.818 K2.75 1.338                3.981               1.39                2.934              5.92               -8.477              0.405     ""       
  EPIC224390140            271.06717         -24.33125           y    y    2   S       19.112 16.979 15.467 14.75  15.123 K7.5  0.594                2.55                0.59                3.215              5.46               -9.121              0.629     ""       
  EPIC224390157            271.09195         -24.33119           ?    n    0   P       ""     18.99  16.113 14.641 15.694 ""    ""                   ""                  ""                  ""                 ""                 ""                  ""        ""       
  EPIC224390187            271.14996         -24.33117           y    ""   0   N       8.45   8.534  8.661  8.733  8.61   B6    0.0                  1493.071            6.171               6.568              5.52               ""                  ""        ""       
  EPIC224390541            271.10717         -24.33044           y    n    0   QPS     13.377 12.127 11.96  11.873 11.939 A3    0.819                55.209              2.55                3.41               6.5                ""                  ""        ""       
  EPIC224391100            271.11367         -24.32936           y    n    0   MP      15.106 13.796 13.068 12.736 12.895 G1.25 0.764                14.53               2.42                3.791              6.39               ""                  ""        ""       
  EPIC224391538            271.052           -24.32861           y    n    2   P       18.574 16.544 15.272 14.678 14.927 K0.75 1.76                 4.592               1.945               2.689              6.29               -8.322              0.346     ""       
  EPIC224392069            271.1835          -24.32761           y    y    2   P       19.205 16.955 15.544 14.908 15.143 K7.75 0.374                2.09                0.578               2.956              5.54               -8.487              0.261     ""       
  EPIC224392324            270.92575         -24.32717           y    y    1   QPS     15.736 14.671 14.142 13.923 13.873 F1.25 1.311                9.046               1.609               1.993              7.0                -7.569              0.164     0.929    
  EPIC224392506            271.06021         -24.32692           y    n    0   P       16.882 15.036 13.924 13.417 13.647 K2.5  0.384                5.564               1.525               3.383              5.81               ""                  ""        ""       
  EPIC224392686            271.08981         -24.3266            y    n    0   QPS     ""     18.186 16.442 15.439 16.192 K8.5  1.423                2.351               0.513               3.282              5.38               ""                  ""        ""       
  EPIC224393028            270.91133         -24.32589           y    n    2   QPS     16.907 15.631 14.984 14.695 14.895 G2.25 0.034                1.324               1.059               1.165              7.36               -8.296              0.015     ""       
  EPIC224393601            271.04158         -24.32494           y    y    0   B       ""     19.986 18.05  17.064 18.141 K8.75 0.891                0.316               0.707               1.222              6.73               ""                  ""        ""       
  EPIC224393909            271.13471         -24.32444           y    y    0   B       18.941 16.938 15.671 15.143 15.349 K5    0.143                1.068               1.078               1.734              6.45               ""                  ""        ""       
  EPIC224394171            271.03061         -24.32396           y    n    0   P       11.194 10.873 10.748 10.678 10.68  A3.5  0.201                96.018              3.104               4.596              6.26               ""                  ""        ""       
  EPIC224394172            271.14354         -24.32394           y    n    0   P       14.666 13.307 12.566 12.255 12.39  G3.25 0.601                20.162              2.836               4.638              6.18               ""                  ""        ""       
  EPIC224394253            271.16233         -24.32378           y    ""   0   MP      11.714 11.429 11.424 11.43  11.372 A1    0.389                72.986              2.641               3.154              6.48               ""                  ""        ""       
  EPIC224394343            271.12192         -24.32367           y    y*   0   QPS     9.495  9.503  9.61   9.68   9.573  B8    0.0                  385.776             4.238               4.948              5.95               ""                  ""        ""       
  EPIC224394353            270.91608         -24.32364           y    n*   0   QPS     17.82  15.685 14.566 14.068 14.396 K3    0.262                2.946               1.291               2.589              6.03               ""                  ""        ""       
  EPIC224394366            271.1025          -24.32361           y    y    2   S       18.68  16.479 15.018 14.391 14.542 M0    0.041                3.487               0.41                4.403              ""                 -7.638              0.246     0.248    
  EPIC224394543            271.08517         -24.32322           y    n    0   P       ""     18.036 16.391 15.605 16.062 K7.25 1.185                1.724               0.64                2.603              5.7                ""                  ""        ""       
  EPIC224396425            271.00033         -24.31997           y    n    2   QPS     17.718 15.927 14.872 14.403 14.586 K2    0.27                 2.011               1.499               1.936              6.56               -9.114              0.419     ""       
  EPIC224396741            271.05029         -24.31939           y    n    0   MP      ""     18.477 16.73  15.862 16.64  K7.5  1.652                1.927               0.608               2.795              5.6                ""                  ""        ""       
  EPIC224396823            271.07246         -24.31942           y    y    1   APD     19.707 18.162 16.56  15.807 15.689 K8.5  0.767                1.218               0.553               2.362              5.75               -7.803              0.016     0.141    
  EPIC224397771            271.05204         -24.31758           y    n*   0   MP      ""     19.018 17.117 16.133 17.178 F5.5  6.157                29.199              2.462               4.303              6.46               ""                  ""        ""       
  EPIC224398068            271.06554         -24.31714           y    n    2   QPS     18.178 16.248 14.934 14.374 14.436 G8.5  2.779                14.537              2.85                4.372              6.02               -7.108              0.118     0.121    
  EPIC224398860            271.11917         -24.31575           y    n    0   P       16.299 14.745 13.845 13.455 13.637 G8.75 0.092                3.945               1.844               2.295              6.57               ""                  ""        ""       
  EPIC224399118            271.17271         -24.31519           y    n    0   QPS     16.754 15.158 14.226 13.803 14.003 G8.5  0.289                3.268               1.667               2.073              6.69               ""                  ""        ""       
  EPIC224400433            271.06625         -24.31286           y    y    2   B       18.355 17.699 17.184 16.368 15.906 ""    ""                   ""                  ""                  ""                 ""                 ""                  ""        ""       
  EPIC224400729            271.13717         -24.31236           y    n*   0   MP      10.648 10.472 10.532 10.579 10.49  A1.5  0.134                129.567             3.267               4.48               6.22               ""                  ""        ""       
  EPIC224402329            271.17825         -24.30942           ?    n    0   MP      11.037 10.565 10.586 10.613 10.562 A1    0.0                  111.534             3.047               3.899              6.31               ""                  ""        ""       
  EPIC224402769            271.101           -24.30867           y    n    0   P       16.375 14.797 13.825 13.361 13.582 G8    0.563                5.923               2.102               2.75               6.43               ""                  ""        ""       
  EPIC224403700            271.05479         -24.30697           y    n    0   QPS     16.365 14.888 13.989 13.576 13.758 G5.25 0.922                7.037               2.11                2.851              6.48               ""                  ""        ""       
  EPIC224407525            271.19771         -24.30033           y    n    0   N       13.657 12.747 12.619 12.531 12.571 A1    1.004                40.774              2.249               2.357              6.66               ""                  ""        ""       
  EPIC224408806            271.21967         -24.29789           y    n    0   MP      12.594 11.39  11.315 11.295 11.313 A4.25 0.0                  47.588              2.467               3.345              6.54               ""                  ""        ""       
  EPIC224409162            271.10658         -24.29725           y    ""   0   P       17.829 16.031 14.885 14.369 14.579 K3    0.369                2.399               1.299               2.336              6.16               ""                  ""        ""       
  EPIC224409672            271.07446         -24.29633           y    y    2   S       19.59  17.442 15.845 15.129 15.328 K0.75 3.157                8.639               2.313               3.688              5.98               -7.501              0.113     0.138    
  EPIC224410321            271.14696         -24.29517           y    y*   0   APD     16.824 15.141 14.132 13.67  13.896 G9.25 1.25                 8.535               2.403               3.422              6.18               ""                  ""        ""       
  EPIC224410960            271.06921         -24.29408           y    n    0   P       18.724 16.623 15.491 14.959 15.291 K2.25 0.551                1.473               1.379               1.698              6.69               ""                  ""        ""       
  EPIC224412309            271.02475         -24.29172           y    n    2   P       16.668 15.055 14.52  14.241 14.479 F3.75 0.899                4.334               1.373               1.557              7.17               -7.863              0.027     ""       
  EPIC224412458            271.09867         -24.29144           y    n    0   MP      ""     18.03  16.248 15.327 15.933 K7.5  1.716                3.142               0.584               3.569              5.34               ""                  ""        ""       
  EPIC224413935            270.79463         -24.28889           y    n    0   P       18.129 16.216 15.147 14.58  14.927 G6.5  1.191                2.949               1.539               1.888              6.83               ""                  ""        ""       
  EPIC224415423            271.17038         -24.28628           y    ?    1   S       19.173 17.156 15.724 15.046 15.084 K7.75 0.453                1.889               0.584               2.809              5.59               -7.829              0.242     0.247    
  EPIC224417127            270.88054         -24.28317           y    n    0   QPS     18.566 16.555 15.467 14.996 15.203 K3    0.121                1.143               1.264               1.612              6.67               ""                  ""        ""       
  EPIC224418655            270.99275         -24.28031           y    y    1   APD     18.531 17.695 16.305 15.6   15.683 K4    1.254                1.473               1.143               1.953              6.32               -8.216              0.167     0.257    
  EPIC224419741            271.02125         -24.27836           y    y    0   QPS     19.783 17.171 15.795 15.199 15.62  K7    0.282                1.397               0.69                2.308              5.86               ""                  ""        ""       
  EPIC224419990            271.05954         -24.278             y    n    0   P       13.811 12.646 12.495 12.411 12.469 A3.5  0.695                29.977              2.095               2.568              6.72               ""                  ""        ""       
  EPIC224420233            270.87983         -24.27753           y    n    2   QPS     18.627 16.822 15.796 15.367 15.507 K2.5  0.0                  0.721               1.094               1.217              7.09               -9.891              0.505     ""       
  EPIC224420667            271.18646         -24.27672           y    ""   1   N       ""     18.134 15.952 14.93  15.602 K5.25 4.9                  49.656              1.414               12.316             ""                 -6.644              0.149     0.267    
  EPIC224420797            271.06717         -24.27661           y    n    0   S       18.185 14.723 12.615 11.655 12.257 ""    ""                   ""                  ""                  ""                 ""                 ""                  ""        ""       
  EPIC224422316            271.09092         -24.27392           y    y    1   QPS     18.883 16.936 15.516 14.822 15.073 K2.75 2.035                5.39                1.413               3.414              5.76               -7.711              0.207     0.161    
  EPIC224424757            271.16508         -24.26969           y    n    1   MP      16.474 15.326 14.75  14.505 14.591 F9    0.243                1.963               1.135               1.292              7.32               -8.703              0.235     ""       
  EPIC224427407            270.85058         -24.26497           y    n*   0   QPS     18.151 16.129 14.963 14.423 14.703 K2    1.227                4.274               1.705               2.822              6.09               ""                  ""        ""       
  EPIC224428514            271.09033         -24.26306           ?    n    0   MP      15.497 13.973 13.493 13.227 13.395 F0.75 0.54                 8.26                1.58                1.871              7.02               ""                  ""        ""       
  EPIC224430588            271.05992         -24.25925           ?    ""   2   P       18.589 16.704 15.91  15.487 15.836 F9.5  0.785                1.027               ""                  0.952              ""                 ""                  ""        ""       
  EPIC224430834            270.63362         -24.25883           ?    ""   0   P       17.601 15.818 14.897 14.527 14.672 ""    ""                   ""                  ""                  ""                 ""                 ""                  ""        ""       
  EPIC224431765            270.84879         -24.25717           y    n*   0   QPS     17.943 15.826 14.625 14.088 14.364 K3    1.102                5.86                1.323               3.651              5.64               ""                  ""        ""       
  EPIC224432562            270.72121         -24.25583           ?    n    0   QPS     19.713 17.245 15.853 15.136 15.513 K7    0.0                  1.015               0.733               1.967              6.09               ""                  ""        ""       
  EPIC224433249            271.10137         -24.25464           y    n    2   QPS     13.995 12.714 12.052 11.788 11.886 G1.25 0.814                39.809              3.377               6.275              6.0                -7.243              0.083     0.133    
  EPIC224433745            271.05583         -24.25381           y    n    1   QPS     ""     17.94  16.328 15.56  15.892 K7.75 0.996                1.665               0.593               2.638              5.66               -8.684              0.25      0.342    
  EPIC224436629            271.0655          -24.24872           y    n    0   MP      13.397 12.399 12.302 12.252 12.266 A1.5  0.728                41.24               2.259               2.528              6.66               ""                  ""        ""       
  EPIC224436688            271.024           -24.24861           y    n    0   MP      ""     17.781 16.261 15.474 16.302 K5.25 1.27                 1.708               0.898               2.284              6.0                ""                  ""        ""       
  EPIC224438171            271.12            -24.24589           y    n    0   P       17.998 16.105 14.973 14.432 14.694 K1.75 0.664                2.503               1.592               2.123              6.47               ""                  ""        ""       
  EPIC224439122            271.18388         -24.24411           y    n    0   P/EB    18.947 16.837 15.622 15.06  15.314 K3.75 0.526                1.473               1.189               1.921              6.36               ""                  ""        ""       
  EPIC224439430            271.06042         -24.24361           ?    n    0   N       9.309  9.277  9.364  9.425  9.316  B8.75 0.0                  433.986             4.562               5.842              5.86               ""                  ""        ""       
  EPIC224439742            271.08133         -24.24317           y    n    0   N       13.494 12.266 12.131 12.063 12.121 A4    0.532                35.954              2.227               2.876              6.65               ""                  ""        ""       
  EPIC224440447            271.07408         -24.24197           ?    n    2   N       19.082 15.464 13.502 12.633 13.18  K5.25 3.66                 164.921             2.344               22.445             ""                 -6.029              0.175     0.411    
  EPIC224444697            271.09083         -24.23447           y    n    0   P       16.476 14.78  13.858 13.472 13.647 G9    0.646                6.477               2.186               2.962              6.31               ""                  ""        ""       
  EPIC224444934            271.12025         -24.23403           y    y    0   QPS     13.658 12.258 11.924 11.741 11.857 A8    0.38                 32.84               2.274               3.301              6.6                ""                  ""        ""       
  EPIC224446184            271.08563         -24.23189           y    n    0   QPS     10.19  10.099 10.116 10.111 10.054 B8.75 0.618                373.153             4.299               5.417              5.92               ""                  ""        ""       
  EPIC224450496            271.05779         -24.2245            y    n    0   MP      13.793 12.438 12.084 11.919 12.006 F0.5  0.458                29.483              2.276               3.504              6.59               ""                  ""        ""       
  EPIC224450714            271.25183         -24.22408           y    y    0   APD     15.691 14.223 13.376 12.979 13.165 G5.5  0.341                7.421               2.155               2.941              6.45               ""                  ""        ""       
  EPIC224451295            271.00633         -24.22314           y    n    0   P       19.105 16.817 15.464 14.845 15.2   K6.75 0.331                1.93                0.687               2.669              5.69               ""                  ""        ""       
  EPIC224453162            271.18754         -24.21978           y    y*   2   QPS     19.537 17.454 16.048 15.402 15.73  K5    0.764                1.325               0.974               1.981              6.22               -9.494              0.785     ""       
  EPIC224457138            270.86133         -24.21267           y    n    0   MP/EB?  12.483 11.938 11.839 11.761 11.78  A0    0.937                82.877              2.721               3.158              6.45               ""                  ""        ""       
  EPIC224460976            271.04079         -24.20589           y    n    2   N       14.698 13.4   13.192 13.089 13.198 A6.5  0.511                12.394              1.745               1.875              6.93               -7.362              0.014     ""       
  EPIC224461008            270.92263         -24.20581           ?    n    0   MP      18.184 16.029 14.797 14.236 14.579 K4.25 0.429                3.02                1.028               2.843              5.8                ""                  ""        ""       
  EPIC224463623            270.70225         -24.20106           y    n*   2   QPD     19.36  17.28  15.942 15.411 15.414 K5    0.308                0.986               1.025               1.709              6.44               -8.616              0.113     0.109    
  EPIC224467724            271.091           -24.19378           y    y    2   QPS     16.287 14.904 14.082 13.701 13.865 G5    0.29                 3.709               1.635               2.061              6.79               -8.133              0.056     ""       
  EPIC224493585            270.599           -24.147             ?    y    1   QPS     19.413 17.624 16.234 15.436 15.735 G9    2.222                2.582               1.548               1.87               6.78               -8.217              0.271     0.194    
  EPIC248368905            271.18133         -24.46067           y    y    2   QPS     19.283 17.188 15.651 14.717 15.083 G8.25 3.023                8.572               2.308               3.333              6.25               -7.342              0.013     0.105    
  EPIC248368907            270.85671         -24.34914           y    n    1   N       17.365 16.239 15.529 15.245 15.142 G2    0.843                1.642               1.139               1.291              7.27               -8.349              0.155     0.295    
  EPIC248368908            270.84604         -24.468             ?    ""   1   QPS     18.401 17.014 16.179 15.866 15.845 G8.25 0.904                0.984               1.049               1.129              7.32               -8.561              0.033     0.348    
  EPIC248368909            271.11396         -24.24086           y    y    1   B       18.679 18.157 17.201 16.472 16.161 A6.25 3.456                3.485               ""                  0.984              ""                 ""                  ""        ""       
  EPIC248368910            271.09504         -24.27397           ?    y    0   ?       18.379 17.257 16.458 16.079 16.317 G4.25 0.336                0.434               ""                  0.694              ""                 ""                  ""        ""       
  EPIC248368911            270.98875         -24.26942           y    ?    0   QPS     18.895 16.898 15.796 15.301 15.537 K2.5  0.33                 0.948               1.215               1.396              6.9                ""                  ""        ""       
  EPIC248368912            271.20638         -24.25611           ?    ""   0   P       19.136 17.359 15.877 15.108 15.575 K6    0.777                1.716               0.793               2.399              5.88               ""                  ""        ""       
  EPIC248368914            270.95392         -24.26136           y    n    0   P       19.935 17.588 16.313 15.74  16.036 K5    0.279                0.699               1.059               1.439              6.71               -8.479              0.305     ""       
  "2MASS J18021402-2419403" 270.55846         -24.32786           ?    n    0   ""      13.28  12.212 12.211 12.226 12.236 A1.75 0.0                  23.372              2.185               1.967              6.75               ""                  ""        ""       
  "2MASS J18021549-2402581" 270.56458         -24.04949           ?    n    0   ""      14.272 12.944 12.582 12.407 12.539 F0    0.116                13.6                1.746               2.338              6.9                ""                  ""        ""       
  "2MASS J18021688-2404036" 270.57038         -24.06771           ?    n    0   ""      14.725 13.357 12.997 12.824 12.956 F0    0.106                9.204               1.602               1.923              7.01               ""                  ""        ""       
  "2MASS J18021857-2416123" 270.5774          -24.27012           ?    n    0   ""      14.682 13.479 13.06  12.879 12.969 F3.5  0.0                  7.601               1.593               2.046              6.99               ""                  ""        ""       
  "2MASS J18022022-2417532" 270.58431         -24.29814           ?    y    0   ""      20.492 18.233 16.874 16.156 16.534 K2.25 1.548                0.944               1.202               1.36               6.96               ""                  ""        ""       
  "2MASS J18022398-2404186" 270.59994         -24.07187           ?    n    0   ""      15.327 12.76  11.572 11.102 11.326 K5    0.0                  44.072              1.427               11.424             ""                 ""                  ""        ""       
  "2MASS J18022501-2404377" 270.60409         -24.07707           ?    n    0   ""      14.271 12.996 12.672 12.505 12.629 A8.5  0.24                 14.43               1.76                2.254              6.9                ""                  ""        ""       
  "2MASS J18022572-2426510" 270.6072          -24.4475            ?    n    0   ""      13.531 12.315 12.141 12.08  12.141 A7    0.0                  20.513              1.914               2.461              6.81               ""                  ""        ""       
  "2MASS J18022730-2409009" 270.61376         -24.15033           ?    n    0   ""      14.117 12.237 11.298 10.917 11.084 K1.5  0.0                  42.396              3.214               8.591              5.24               ""                  ""        ""       
  "2MASS J18022730-2409009" 270.78886         -24.18989           ?    n    0   ""      14.226 12.822 11.698 11.132 11.5   G9.25 0.978                59.77               4.231               9.056              5.5                ""                  ""        ""       
  "2MASS J18022754-2423167" 270.6148          -24.38791           ?    n    0   ""      12.463 11.389 10.912 10.706 10.799 F5    0.0                  53.86               3.055               5.699              6.21               ""                  ""        ""       
  "2MASS J18022761-2411380" 270.6151          -24.19391           y    y    0   ""      ""     20.203 18.255 17.161 17.868 K5    3.153                1.269               0.979               1.938              6.25               ""                  ""        ""       
  "2MASS J18022945-2424533" 270.6228          -24.41474           ?    y    0   ""      ""     18.332 16.742 15.911 16.32  K5    1.662                1.489               0.954               2.1                6.13               ""                  ""        ""       
  "2MASS J18023375-2408426" 270.64067         -24.14518           ?    n    0   ""      14.004 12.867 12.339 12.065 12.221 F3.25 0.383                20.133              2.083               3.305              6.67               ""                  ""        ""       
  "2MASS J18023410-2414406" 270.64209         -24.24463           ?    n    0   ""      14.635 13.193 12.394 12.05  12.198 G6.25 0.024                14.08               2.73                4.106              6.16               ""                  ""        ""       
  "2MASS J18023558-2412090" 270.64832         -24.20249           ?    n    0   ""      13.52  12.298 11.969 11.833 11.897 F1    0.0                  21.656              2.052               3.058              6.71               ""                  ""        ""       
  "2MASS J18023732-2416240" 270.65543         -24.27338           y    y*   2   ""      19.23  17.984 16.496 15.694 15.748 K7.25 0.382                0.794               0.745               1.767              6.24               -8.533              0.079     0.176    
  "2MASS J18023806-2415456" 270.65862         -24.26267           ?    n    0   ""      13.268 12.079 11.544 11.309 11.409 F6.75 0.0                  29.769              2.608               4.597              6.39               ""                  ""        ""       
  "2MASS J18023978-2414475" 270.66578         -24.24654           y    n    0   ""      8.495  8.609  8.779  8.873  8.752  B3.75 0.0                  1954.495            6.47                5.798              5.49               ""                  ""        ""       
  "2MASS J18024179-2437167" 270.67422         -24.62133           ?    n    0   ""      13.602 11.714 10.756 10.355 10.543 K1.25 0.0                  68.036              4.06                10.699             5.17               ""                  ""        ""       
  "2MASS J18024269-2417235" 270.67788         -24.2899            ?    ""   0   ""      14.133 12.928 12.471 12.267 12.367 F4    0.0                  12.89               1.804               2.705              6.83               ""                  ""        ""       
  "2MASS J18024303-2418112" 270.67933         -24.30313           y    n    2   ""      13.26  12.47  12.485 12.497 12.486 B9.75 0.0                  20.819              ""                  1.513              ""                 ""                  ""        ""       
  "2MASS J18024389-2415229" 270.68288         -24.25639           ?    y    0   ""      ""     18.843 16.922 15.903 16.687 K5    2.895                3.45                0.891               3.196              5.6                ""                  ""        ""       
  "2MASS J18024450-2429449" 270.68545         -24.49581           y    n    2   ""      12.929 12.126 12.131 12.143 12.126 A0.75 0.0                  26.981              2.224               1.888              6.77               -7.047              0.044     ""       
  "2MASS J18024507-2417073" 270.68777         -24.28538           ?    y    0   ""      16.258 14.044 13.006 12.51  12.746 G9.25 0.602                13.102              2.774               4.24               6.0                ""                  ""        ""       
  "2MASS J18024523-2417558" 270.68851         -24.29884           ?    y    0   ""      18.972 16.568 15.227 14.601 14.884 K5    0.566                2.414               0.903               2.674              5.81               ""                  ""        ""       
  "2MASS J18024774-2416121" 270.69895         -24.27001           ?    n    2   ""      12.98  12.395 12.015 11.822 11.904 A9.75 0.242                25.604              2.142               3.178              6.66               -7.266              0.215     0.069    
  "2MASS J18024789-2356517" 270.69958         -23.9477            ?    n    0   ""      14.041 11.719 10.647 10.213 10.418 K4    0.0                  96.32               2.385               15.794             ""                 ""                  ""        ""       
  "2MASS J18024820-2414403" 270.70086         -24.24457           ?    n    0   ""      15.483 13.814 13.176 12.851 13.086 F6.5  0.412                9.275               1.712               2.536              6.86               ""                  ""        ""       
  "2MASS J18024840-2416147" 270.70168         -24.27073           ?    n    0   ""      13.149 11.962 11.854 11.789 11.851 A2.75 0.229                36.537              2.212               2.713              6.67               ""                  ""        ""       
  "2MASS J18024882-2421085" 270.70346         -24.35241           ?    y    2   ""      20.021 17.627 16.273 15.523 15.731 G9.75 1.899                1.909               1.427               1.64               6.88               -8.89               0.36      ""       
  "2MASS J18025080-2417564" 270.71165         -24.299             ?    y    0   ""      ""     18.409 16.884 16.05  16.556 K7.25 0.548                0.638               0.782               1.584              6.41               ""                  ""        ""       
  "2MASS J18025108-2419231" 270.71285         -24.32311           ?    y    1   ""      ""     19.004 17.375 16.548 16.957 K5    1.738                0.878               1.046               1.612              6.53               -9.207              0.419     ""       
  "2MASS J18025113-2418077" 270.71307         -24.30218           y    y    2   ""      19.782 18.624 17.079 16.246 16.411 K6.5  0.846                0.629               0.891               1.499              6.55               -8.887              0.35      0.472    
